movie,sentence,score
미드소마,시청각 효과가 볼만했으나 그것 뿐이다. 좋은 평가를 주기엔 부족한 작품. 고어 불쾌한 성적 요소 등 애브젝트 미학의 매력을 살리지도 못했다. 여주인공 대니만큼이나 정신이 불안정하면 감명깊게 볼지도 모르겠다.,4
모가디슈,너무 재밌게 봤어요! 마지막이 조금 애매,9
모가디슈,감독의 전작보다 훨 낫네요 추천합니다,10
모가디슈,정말 오랜만에 훌륭한 한국영화 한편 진하게 봤습니다,10
더 수어사이드 스쿼드,진짜 오랜만에 너무너무 재밌는 영화봤다.본인 인생영화는 가디언즈 오브 갤럭시고 재밌게 본 영화는 킹스맨정도다. 평소 마블영화도 좋아하고 초능력 히어로물 영화를 정말 좋아하는데 이 영화 역시 초능력히어로물 영화고 좋아하는 감독이라 기대했는데 스포당할까봐 평점보니 호불호가 꽤 갈리는 듯 해서 걱정했으나~ 나는 개인적으로 수어사이드스쿼드1보다 훨씬 재밌었다. 일단 OST가 너무 좋았고 새로이 등장한 랫캐처라는 캐릭터와 서사가 너무 멋졌다. 특히 랫캣처 무기가 너무 멋있음 ㅠ.ㅠ   디씨에서 수어사이드 스쿼드 계속해서 뽑아줬으면 좋겠다...제발...너무 재밌어... 가디언즈오브갤럭시 감동이라서 그런지 이스터에그처럼 가오갤 등장인물들을 쏙쏙 찾아보는 재미가 있었다! 정말 만족 대 만족.허나 히어로물 B급 코미디 싫어하는 사람은 안좋아할지도...ㅋ 또 징그러운 거 못보는 사람도...근데 막 엄청 잔인하진 않던데. 웃기게 잔인하지..ㅋㅋ 굳굳!!! 또 보구 싶다!!!,10
어 퍼펙트 데이,오늘따라 씁쓸한 농담들..,9
새콤달콤,대부분 장면을... 이니시에이션러브 보고 만들었구나..,2
라야와 마지막 드래곤,스토리도 탄탄해서 감동적이었고 보는내내 영상미에 감탄함,10
모가디슈,이제 한국 영화는 돈 주고 보는건 아닌듯,1
모가디슈,무난,4
콰이어트 플레이스 2,디테일에 강한듯 강하지 않은 아쉬움이 있음..부부가 연출과 주연을 맡아서 인지시즌 3까지 무난하게 가네요,8
은혼 더 파이널,재밋어요,8
더 수어사이드 스쿼드,재밌었어요~ 여름에 잘 어울리는 영화~~~,10
모가디슈,부모님과 함께 정말 오랜만에 영화관에서 본 영화인데 정말 기대이상으로 재밌었고 앞부분이 조금 지루한 듯 했으나 뒤로 갈수록 더 몰입이 되었다.돈이 전혀 아깝지 않은 영화이다. 조인성이 너무 잘생겼다.,10
런,걷지 못하는 것은 대부분을 못하는 것과 같구나.귀신보다 무서운 일상의 공포,8
더 수어사이드 스쿼드,워너 DC는 절대 영화만들때 간섭하지마라 영화는 무조건 19금으로 만들어라,8
모가디슈, 3살 김송한입니다. 시원시원한 전개와 아픈 역사 그리고 남북한은 가깝고도 먼 나라라는것을 느꼈습니다.,10
모가디슈,8점짜리 영화는 아님.,7
새해전야,스토리가 풍부해서 좋아요. 하지만 기대 만큼은 아니었어요. 딱 연말 영화 정도? 영화관에 안 가서 다행이네요.,7
조제,스토리가 따뜻하면서 씁쓸해요. 그냥저냥 보다가 마지막에 너무 슬펐어요.,7
꽃다발 같은 사랑을 했다,시작이란건 끝의 시작.모든 만남은 이별을 내재하고 있고 연애는 파티처럼 언젠가 끝이난다.지금 우리의 파티는 가장 좋은 분위기 속에서 시작된것 뿐이다.,10
모가디슈,진짜 딱 6점짜리 영화돈 아깝단 생각은 안들지만 기대이상도 아닙니다.,6
더 그레이트 샤크,여름에 상어는 실패가 없지 ㅎ 이번에도 성공적!,10
모가디슈,코로나 아니면 천만짜리임 지립니다,10
랑종,무섭기 보단 역겨운 장면이 많은 듯. 그래도 보고 난 후 의미 찾아보는 재미가 있음,8
모가디슈,이영화는 잼있는것도 재미 없는것도 아니다.그냥 그렇다…,6
모가디슈,정만식 배우 덕분에 알게되었는데 너무 재밌어요!! 신파없이 깔끔하고 재밌습니다  그리고 구교환배우 진짜 매력있게나와요,10
더 수어사이드 스쿼드,시작하자마자 너무 잔인해서 나갈까 했음근데 그 시작의 잔인함이 계속 영화에 긴장감을 주는 효과도 있었음할리퀸 캐릭터와 액션씬은 역대급,8
오케이 마담,넷플릭스 킬링타임용으로 보기에 나쁘지 않음 ㅎㅎ낄낄대면서 봄,8
지금 만나러 갑니다,넷플릭스 뜨길래 봤는데 진짜 너무 슬프고 감동적이에요… 이해가 잘 안 가서 두번 봤는데 두번 다 울음……… 역시 손예진은 손예진이다.. 연기 너무 잘하고.. 애기도 연기 경력 한번도 없는 아이인데 되게 잘하고.. 소지섭도 잘하고.. 영화 자체 진짜 완벽함,10
모가디슈,이번년도 최고의 영화또 보고싶다,10
워크 투 리멤버,인생영화..주기적으로 봐야함,10
아들의 이름으로,의욕만으로는 영화가..,1
모가디슈,만시기 때문에 눈배렷쥬~,2
더 수어사이드 스쿼드,간만에 정말 재미있게 봤다. 개성이 살아있는 캐릭터들의 제대로된 청불 액션.,9
루카,이 영화는 디즈니와 픽사의 애니메이션 역사에 길이 남았으면 좋겠습니다. 코코와 어깨를 나란히하는 제 인생 최고의 디즈니와 픽사 애니메이션이라고 해도 과언이 아닙니다. 정말 엉엉 울면서 본 감명 깊고 여운이 짙게 남는 영화입니다. 타인이 몰랐으면 좋겠는 겉으로 드러나지 않는 비밀이 의도치않게 드러났을때 그 것이 약점이 되어 차별과 비난으로 돌아오는 모습. 저는 성지향성의 아웃팅이 떠올랐습니다. 어른들이 가장 못하는 “남들과 다름을 인정하고 받아들이는 아름다운 모습”을 어른들이 이렇게까지 표현 해 냈다는 점이 인상깊습니다. 연출을 어떻게 이렇게까지 아름답고 감동스럽게 해 낼 수 있는지.. 더빙판 목소리와 연기력도 굉장히 좋아 더빙하신 분들을 찾아보기도 했는데 세 소년소녀 주인공들의 목소리가 모두 진짜 초중학생 아역배우들의 목소리였어서 깜짝 놀랐습니다. 특히 알베르토의 성우님의 변성기 목소리가 10대 소년소녀의 파릇파릇한 성장물 느낌을 극대화 시켜주는 듯 했습니다.,10
더 수어사이드 스쿼드,연출과 영상미가 뛰어나고 스토리도 끊기지 않고 잘 이어져 나가요. 캐릭터마다의 개성과 배경설명도 적절하게 되었습니다. 하지만 매력있는 캐릭터를 의미 없이 쉽게 죽여서 아쉬움이 있는거 같아요.,8
모가디슈,보지 마세요. 재미 없어요,2
모가디슈,연기와 영상미는 흠잡을데 없지만 너무 자극적인 연출과 사운드에 보는 내내 피곤했습니다. 밖으로 나가고 싶었어요,4
더 그레이트 샤크,역시 여름은 상어영화지! 진짜 아찔했다!,10
트롤헌터: 라이즈 오브 타이탄,마지막에서 울었음 ㅠㅠ 진짜 재밌게 봤네요. 다음편도 나왔으면해요.,10
